cpi,cpi_change_percent,gasoline_price_dollar,gdp_dollar,minimum_wage,out_of_pocket_health_expenditure_percent,popolation_labor_force_participation_percentin_tons,tax_revenue_percent,total_tax_rate_percent,unemployment_rate_percent,id_country
149.9,2.3,0.7,19101353833,0.43,78.4,48.9,9.3,71.4,11.12,1
119.05,1.4,1.36,15278077447,1.12,56.9,55.7,18.6,36.6,12.33,2
151.36,2,0.28,169988236398,0.95,28.1,41.2,37.2,66.1,11.7,3
,,1.51,3154057987,6.63,36.4,,,,,4
261.73,17.1,0.97,94635415870,0.71,33.4,77.5,9.2,49.1,6.89,5
113.81,1.2,0.99,1727759259,3.04,24.3,,16.5,43,,6
232.75,53.5,1.1,449663446954,3.35,17.6,61.3,10.1,106.3,9.79,7
129.18,1.4,0.77,13672802158,0.66,81.6,55.6,20.9,22.6,16.99,8
119.8,1.6,0.93,1392680589329,13.59,19.6,65.5,23,47.4,5.27,9
118.06,1.5,1.2,446314739528,,17.9,60.7,25.4,51.4,4.67,10
156.32,2.6,0.56,39207000000,0.47,78.6,66.5,13,40.7,5.51,11
116.22,2.5,0.92,12827000000,5.25,27.8,74.6,14.8,33.8,10.36,12
117.59,2.1,0.43,38574069149,,25.1,73.4,4.2,13.8,0.71,13
179.68,5.6,1.12,302571254131,0.51,71.8,59,8.8,33.4,4.19,14
134.09,4.1,1.81,5209000000,3.13,45.2,65.2,27.5,35.6,10.33,15
,5.6,0.6,63080457023,1.49,34.5,64.1,14.7,53.3,4.59,16
117.11,1.4,1.43,529606710418,10.31,17.6,53.6,24,55.4,5.59,17
105.68,-0.9,1.13,1879613600,1.65,22.7,65.1,26.3,31.1,6.41,18
110.71,-0.9,0.72,14390709095,0.39,40.5,70.9,10.8,48.9,2.23,19
167.18,2.7,0.98,2446674101,0.32,19.8,66.7,16,35.3,2.34,20
148.32,1.8,0.71,40895322865,1.36,25.9,71.8,17,83.7,3.5,21
104.9,0.6,1.05,20047848435,1.04,28.6,46.4,20.4,23.7,18.42,22
149.75,2.8,0.71,18340510789,0.29,5.3,70.8,19.5,25.1,18.19,23
167.4,3.7,1.02,1839758040766,1.53,28.3,63.9,14.2,65.1,12.08,24
99.03,-0.4,0.37,13469422941,,6,64.7,,8,9.12,25
114.42,3.1,1.11,86000000000,1.57,47.7,55.4,20.2,28.3,4.34,26
106.58,-3.2,0.98,15745810235,0.34,36.1,66.4,15,41.3,6.26,27
182.11,-0.7,1.21,3012334882,,19.1,79.2,13.6,41.2,1.43,28
111.61,-0.9,0.93,58792205642,0.36,36,57,11.8,50.1,3.32,29
110.5,1.1,1.02,1981845741,0.68,23.2,60.5,20.1,37.5,12.25,30
127.63,2.5,0.9,27089389787,,59.4,82.3,17.1,23.1,0.68,31
118.65,2.5,1.03,38760467033,0.35,69.7,76.1,12.8,57.7,3.38,32
116.76,1.9,0.81,1736425629520,9.51,14.6,65.1,12.8,24.5,5.56,33
186.86,37.1,1.41,2220307369,0.37,39.6,72,8.6,73.3,3.68,34
117.7,-1,0.78,11314951343,0.6,56.4,70.7,,63.5,1.89,35
131.91,2.6,1.03,282318159745,2,32.2,62.6,18.2,34,7.09,36
125.08,2.9,0.96,19910000000000,0.87,32.4,68,9.4,59.2,4.32,37
140.95,3.5,0.68,323802808108,1.23,18.3,68.8,14.4,71.2,9.71,38
103.62,-4.3,,1185728677,0.71,74.8,43.3,,219.6,4.34,39
124.74,2.2,0.97,10820591131,0.88,43.8,69.4,9,54.3,9.47,40
128.85,2.1,0.98,61773944174,1.84,21.5,62.1,13.6,58.3,11.85,41
109.82,0.8,1.26,60415553039,2.92,15.2,51.2,22,20.5,6.93,42
,,1.4,100023000000,0.05,,53.6,,,1.64,43
102.51,0.3,1.23,24564647935,,43.9,63.1,24.5,22.4,7.27,44
116.48,2.8,1.17,246489245495,3,14.8,60.6,14.9,46.1,1.93,45
133.85,2.9,1.49,47319624204,0.18,37.4,63.5,10.7,50.7,4.24,46
110.35,0.8,1.55,348078018464,,13.7,62.2,32.4,23.8,4.91,47
120.25,3.3,1.32,3318716359,,20.4,60.2,,37.9,10.3,48
103.87,1,,596033333,1.48,28.4,,22.1,32.6,,49
135.5,1.8,1.07,88941298258,0.4,43.7,64.3,13,48.8,5.84,50
