id_country,gross_primary_education_enrollment,gross_tertiary_education_enrollment
1,104,9.7
2,107,55
3,109.9,51.4
4,106.4,
5,113.5,9.3
6,105,24.8
7,109.7,90
8,92.7,54.6
9,100.3,113.1
10,103.1,85.1
11,99.7,27.7
12,81.4,15.1
13,99.4,50.5
14,116.5,20.6
15,99.4,65.4
16,100.5,87.4
17,103.9,79.7
18,111.7,24.7
19,122,12.3
20,100.1,15.6
21,98.2,
22,,23.3
23,103.2,24.9
24,115.4,51.3
25,103.2,31.4
26,89.3,71
27,96.1,6.5
28,121.4,6.1
29,99.8,9.3
30,104,23.6
31,107.4,13.7
32,103.4,12.8
33,100.9,68.9
34,102,3
35,86.8,3.3
36,101.4,88.5
37,100.2,50.6
38,114.5,55.3
39,99.5,9
40,106.6,12.7
41,113.3,55.2
42,96.5,67.9
43,101.9,41.4
44,99.3,75.9
45,100.7,64.1
46,108,6.6
47,101.3,80.6
48,75.3,5.3
49,114.7,7.2
50,105.7,59.9
51,103.3,44.9
52,106.3,35.2
53,94.8,29.4
54,61.8,1.9
55,68.4,3.4
56,97.2,69.6
57,,
58,101,8.1
59,106.4,16.1
60,100.2,88.2
61,102.5,65.6
62,139.9,8.3
63,98,2.7
64,98.6,63.9
65,104,70.2
66,104.8,15.7
67,99.6,136.6
68,106.9,104.6
69,101.9,21.8
70,91.5,11.6
71,118.7,2.6
72,97.8,11.6
73,113.6,1.1
74,,
75,91.5,26.2
76,100.8,48.5
77,100.4,71.8
78,113,28.1
79,106.4,36.3
80,110.7,68.1
81,108.7,16.2
82,100.9,77.8
83,104.9,63.4
84,101.9,61.9
85,91,27.1
86,98.8,63.2
87,81.5,34.4
88,104.4,61.7
89,103.2,11.5
90,101.3,
91,92.4,54.4
92,107.6,41.3
93,102.4,15
94,99.4,88.1
95,95.1,26.3
96,120.9,10.2
97,85.1,11.9
98,109,60.5
99,104.7,35.6
100,103.9,72.4
101,102.3,19.2
102,142.5,5.4
103,142.5,0.8
104,105.3,45.1
105,97.1,31.2
106,75.6,4.5
107,105,54.3
108,84.7,23.7
109,99.9,5
110,101.1,40.6
111,105.8,40.2
112,97.2,14.1
113,90.6,39.8
114,,
115,104,65.6
116,100,56.1
117,113.9,35.9
118,112.6,7.3
119,112.3,18.8
120,124.2,22.9
121,,
122,142.1,12.4
123,104.2,85
124,100,82
125,120.6,17.4
126,74.7,4.4
127,84.7,10.2
128,112.8,27
129,,
130,100.3,82
131,103.4,38
132,94.3,9
133,112.6,54.7
134,,
135,94.4,47.8
136,108.5,1.8
137,104.4,34.6
138,106.9,70.7
139,107.5,35.5
140,100,67.8
141,106.2,63.9
142,103.8,17.9
143,85.2,49.4
144,102.6,81.9
145,133,6.7
146,108.7,86.7
147,102.6,14.1
148,113.4,23.7
149,110.5,7.6
150,108.1,42.5
151,106.8,13.4
152,99.8,68
153,81,12.8
154,100.3,67.2
155,100.4,17.1
156,112.8,2
157,100.6,84.8
158,98.7,46.6
159,100.4,78.6
160,106.2,
161,23.4,2.5
162,100.9,22.4
163,98.1,94.3
164,73,
165,102.7,88.9
166,100.2,19.6
167,76.8,16.9
168,108.8,12.6
169,126.6,67
170,105.2,59.6
171,81.7,40.1
172,100.9,31.3
173,94.2,4
174,99.8,49.3
175,115.3,17.8
176,123.8,14.5
177,116.3,6.4
178,106.2,12
179,115.4,31.7
180,93.2,23.9
181,88.4,8
182,86,
183,102.7,4.8
184,99,82.7
185,108.4,36.8
186,101.2,60
187,101.8,88.2
188,108.5,63.1
189,104.2,10.1
190,109.3,4.7
191,97.2,79.3
192,110.6,28.5
193,93.6,10.2
194,98.7,4.1
195,109.9,10
