"country","gdp_per_capita","life_expectancy","population"
"Luxembourg","116014.6","82.1","645397"
"Switzerland","87097.04","83.6","8574832"
"Republic of Ireland","85267.766","82.3","5007069"
"Norway","67329.68","82.8","5347896"
"United States","63593.445","78.5","328239523"
"Denmark","61063.316","81","5818553"
"Singapore","59797.754","83.1","5703569"
"Iceland","59270.18","82.7","361313"
"Netherlands","52397.117","81.8","17332850"
"Sweden","52274.41","82.5","10285453"
"Australia","51692.844","82.7","25766605"
"Qatar","50124.387","80.1","2832067"
"Finland","48744.99","81.7","5520314"
"Austria","48586.8","81.6","8877067"
"Germany","46208.43","80.9","83132799"
"Belgium","45159.348","81.6","11484055"
"Israel","44168.945","82.8","9053300"
"Canada","43294.65","81.9","36991981"
"New Zealand","41441.465","81.9","4841000"
"United Kingdom","41059.168","81.3","66834405"
"Japan","40193.254","84.2","126226568"
"France","39030.36","82.5","67059887"
"United Arab Emirates","36284.555","77.8","9770529"
"UE","34219.4","81","426477550"
"Italy","31714.22","82.9","60297396"
"Malta","27884.643","82.3","502653"
"Cyprus","27527.846","80.8","1198575"
"Spain","27063.193","83.3","47076781"
"Slovenia","25517.33","81","2087946"
"Greece","25300","81.3","10716322"
"Estonia","25300","78.2","1331824"
"Kuwait","24811.77","75.4","4207083"
"Portugal","22176.297","81.3","10269417"
"Bahrain","20409.953","77.2","1501635"
"Lithuania","20233.64","75.7","2786844"
"Saudi Arabia","20110.316","75","34268528"
"Latvia","17726.254","74.7","1912789"
"Hungary","15980.741","75.8","9769949"
"Poland","15720.995","77.6","37970874"
"Uruguay","15438.412","77.8","3461734"
"Trinidad and Tobago","15425.635","73.4","1394973"
"Barbados","15373.8545","79.1","287025"
"Oman","14485.386","77.6","5266535"
"Croatia","14134.163","78.1","4067500"
"Antigua and Barbuda","13992.744","76.9","97118"
"Chile","13231.704","80","18952038"
"Romania","12896.089","75.4","19356544"
"Panama","12509.835","78.3","4246439"
"Costa Rica","12140.8545","80.1","5047561"
"Seychelles","10764.421","72.8","97625"
"China","10434.775","77","1397715000"
"Malaysia","10412.349","76","32447385"
"Bulgaria","10079.203","74.9","6975761"
"Cuba","9477.853","78.7","11333483"
"Grenada","9261.552","72.4","112003"
"Kazakhstan","9122.233","73.2","18513930"
"ASIA","8981.1","72.5","681156482"
"Mauritius","8627.843","74.4","1265711"
"Argentina","8579.018","76.5","44938712"
"Turkey","8536.434","77.4","83429615"
"MENA","8408.6","72.7","284481847"
"Mexico","8329.271","75","126014024"
"Serbia","7720.5107","75.5","6944975"
"Montenegro","7677.1523","76.8","622137"
"Dominican Republic","7268.197","73.9","10738958"
"Thailand","7186.874","76.9","69625582"
"Equatorial Guinea","7143.239","58.4","1355986"
"LAC","7123.3","75.7","601741414"
"Dominica","7003.859","76.6","71808"
"Guyana","6955.9395","69.8","782766"
"Maldives","6924.106","78.6","530953"
"Gabon","6881.7153","66.2","2172579"
"Brazil","6796.8447","75.7","212559417"
"Belarus","6424.1523","74.2","9466856"
"Botswana","6404.9","69.3","2346179"
"BRICS","6258.1","73.2","3035250441"
"Peru","6126.8745","76.5","32510453"
"Bosnia and Herzegovina","6079.7383","77.3","3301000"
"South Africa","5655.8677","63.9","58558270"
"Ecuador","5600.3896","76.8","17373662"
"Colombia","5334.556","77.1","50339443"
"Albania","5246.2925","78.5","2854191"
"Fiji","5057.632","67.3","889953"
"Paraguay","5001.0728","74.1","7044636"
"Suriname","4916.6055","71.6","581372"
"ASEAN","4826","72","556629030"
"Jamaica","4664.5303","74.4","2948279"
"Lebanon","4649.548","78.9","6855713"
"Tonga","4624.823","70.8","100209"
"Guatemala","4603.34","74.1","16604026"
"Jordan","4282.7656","74.4","10101694"
"Georgia","4266.691","73.6","3720382"
"Armenia","4266.018","74.9","2957731"
"Azerbaijan","4221.4077","72.9","10023318"
"Namibia","4179.278","63.4","2494530"
"Iraq","4145.863","70.5","39309783"
"Belize","4115.1772","74.5","390353"
"Samoa","4067.8435","73.2","202506"
"Mongolia","4060.9504","69.7","3225167"
"Indonesia","3869.5884","71.5","270203917"
"El Salvador","3798.6365","73.1","6453553"
"Ukraine","3724.9385","71.6","44385155"
"Libya","3699.2947","72.7","6777452"
"Sri Lanka","3680.6736","76.8","21803000"
"Tunisia","3521.592","76.5","11694719"
"Djibouti","3425.4841","66.6","97356"
"Algeria","3306.8582","76.7","43053054"
"Philippines","3298.8296","71.1","108116615"
"Morocco","3058.6917","76.5","36910560"
"Bhutan","3000.7793","71.5","727145"
"Vanuatu","2870.0894","70.3","299882"
"Papua New Guinea","2757.2175","64.3","8776109"
"Honduras","2389.0125","75.1","9746117"
"Solomon Islands","2250.601","72.8","669823"
"Ghana","2205.529","63.8","30792608"
"Sao Tome and Principe","2157.8403","70.2","215056"
"Nigeria","2097.0925","54.3","200963599"
"Bangladesh","1961.6138","72.3","167310838"
"India","1927.7078","69.4","1366417754"
"Nicaragua","1905.2611","74.3","6545502"
"Kenya","1878.5807","66.3","52573973"
"Angola","1776.1669","60.8","31825295"
"Uzbekistan","1750.6971","71.6","33580650"
"Mauritania","1701.9912","64.7","4525696"
"Kiribati","1653.5403","68.1","117606"
"Cambodia","1543.6693","69.6","16486542"
"Cameroon","1537.1302","58.9","25876380"
"Senegal","1471.8309","67.7","16296364"
"Myanmar","1467.6042","66.9","54045420"
"Comoros","1420.6617","64.1","850886"
"SSA","1328.4","61","853150424"
"Benin","1291.041","61.5","11801151"
"Haiti","1272.368","63.7","11263077"
"Zimbabwe","1214.5098","61.2","14645468"
"Guinea","1194.0378","61.2","12771246"
"Pakistan","1188.8597","67.1","216565318"
"Nepal","1155.1428","70.5","28608710"
"Zambia","985.13245","63.5","17861030"
"Ethiopia","936.34045","66.2","112078730"
"Togo","914.9508","60.8","8082366"
"Lesotho","875.35345","53.7","2125268"
"Mali","862.453","58.9","19658031"
"Tajikistan","859.13794","70.9","9321018"
"Burkina Faso","857.93274","61.2","20321378"
"Uganda","822.0277","63","44269594"
"Rwanda","797.8555","68.7","12626950"
