"country","gross_tertiary_education_enrollment","fertility_rate","gdp_procapite"
"Greece","136.6","1.35","19582"
"Australia","113.1","1.74","54049"
"Grenada","104.6","2.06","10965"
"South Korea","94.3","0.98","39238"
"Argentina","90","2.26","10006"
"Spain","88.9","1.26","29613"
"Chile","88.5","1.65","14896"
"United States","88.2","1.73","65280"
"Finland","88.2","1.41","48685"
"Latvia","88.1","1.6","17836"
"Belarus","87.4","1.45","6663"
"Saint Kitts and Nevis","86.7","2.11","19896"
"Austria","85.1","1.47","50277"
"Netherlands","85","1.59","52447"
"Singapore","84.8","1.14","65233"
"Ukraine","82.7","1.3","3464"
"New Zealand","82","1.71","42745"
"Norway","82","1.56","75419"
"Russia","81.9","1.57","11774"
"Denmark","80.6","1.73","59822"
"Belgium","79.7","1.62","46116"
"Venezuela","79.3","2.27","16915"
"Slovenia","78.6","1.6","25739"
"Republic of Ireland","77.8","1.75","77629"
"Cyprus","75.9","1.33","20494"
"Lithuania","72.4","1.63","19455"
"Iceland","71.8","1.71","66944"
"Bulgaria","71","1.56","12328"
"Peru","70.7","2.25","6977"
"Germany","70.2","1.56","46258"
"Estonia","69.6","1.59","23566"
"Canada","68.9","1.5","46940"
"Iran","68.1","2.14","5371"
"Saudi Arabia","68","2.32","23139"
"Croatia","67.9","1.47","14853"
"Poland","67.8","1.46","15595"
"Serbia","67.2","1.49","7402"
"Sweden","67","1.76","51610"
"France","65.6","1.88","40493"
"Mongolia","65.6","2.9","4295"
"Barbados","65.4","1.62","18148"
"Czech Republic","64.1","1.69","23101"
"Portugal","63.9","1.38","23145"
"Georgia","63.9","2.06","4769"
"Israel","63.4","3.09","43641"
"Japan","63.2","1.42","40259"
"Uruguay","63.1","1.97","16190"
"Italy","61.9","1.29","33189"
"Kazakhstan","61.7","2.84","9731"
"Libya","60.5","2.24","7683"
"United Kingdom","60","1.68","42300"
"Dominican Republic","59.9","2.35","8282"
"Switzerland","59.6","1.52","81993"
"Montenegro","56.1","1.75","8832"
"Colombia","55.3","1.81","6432"
"Costa Rica","55.2","1.75","12238"
"Albania","55","1.62","5352"
"Palau","54.7","2.21","15575"
"Armenia","54.6","1.76","4622"
"Kuwait","54.4","2.08","32031"
"Malta","54.3","1.23","29416"
"Algeria","51.4","3.02","3948"
"Brazil","51.3","1.73","8655"
"China","50.6","1.69","14244"
"Bahrain","50.5","1.99","25688"
"Romania","49.4","1.71","12919"
"Thailand","49.3","1.53","7808"
"Hungary","48.5","1.54","16475"
"Panama","47.8","2.46","15731"
"Slovakia","46.6","1.52","19329"
"Malaysia","45.1","2","11239"
"Ecuador","44.9","2.43","6183"
"San Marino","42.5","1.26","483736"
"Cuba","41.4","1.62","8825"
"Kyrgyzstan","41.3","3.3","1309"
"Mauritius","40.6","1.41","11203"
"Mexico","40.2","2.13","9985"
"Syria","40.1","2.81","2366"
"Moldova","39.8","1.26","4498"
"Oman","38","2.89","14617"
"United Arab Emirates","36.8","1.41","43103"
"Indonesia","36.3","2.31","4142"
"Morocco","35.9","2.42","3216"
"Liechtenstein","35.6","1.44","172357"
"Philippines","35.5","2.58","3485"
"Egypt","35.2","3.33","3020"
"Paraguay","34.6","2.43","5414"
"Jordan","34.4","2.76","4330"
