"country","physicians_per_thousand","out_of_pocket_health_expenditure_percent","infant_mortality","maternal_mortality_ratio"
"Cuba","8.42","0","3.7",36
"Georgia","7.12","57.3","8.7",25
"Lithuania","6.35","32.1","3.3",8
"Greece","5.48","35.5","3.6",3
"Belarus","5.19","34.5","2.6",2
"Austria","5.17","17.9","2.9",5
"Portugal","5.12","27.7","3.1",8
"Uruguay","5.05","16.2","6.4",17
"Israel","4.62","24.4","3",3
"Maldives","4.56","16.4","7.4",53
"Estonia","4.48","22.8","2.1",9
"Armenia","4.4","81.6","11",26
"Switzerland","4.3","28.3","3.7",5
"Germany","4.25","12.5","3.1",7
"Trinidad and Tobago","4.17","37.3","16.4",67
"Czech Republic","4.12","14.8","2.7",3
"Iceland","4.08","17","1.5",4
"Bulgaria","4.03","47.7","5.9",10
"Russia","4.01","36.4","6.1",17
"Denmark","4.01","13.7","3.6",4
"Italy","3.98","22.8","2.6",2
"Sweden","3.98","15.2","2.2",4
"Argentina","3.96","17.6","8.8",39
"Spain","3.87","24.2","2.5",4
"Finland","3.81","19.9","1.4",3
"Australia","3.68","19.6","3.1",6
"North Korea","3.67","0","13.7",89
"Netherlands","3.61","12.3","3.3",5
"New Zealand","3.59","12.6","4.7",9
"Azerbaijan","3.45","78.6","19.2",26
"Slovakia","3.42","18.4","4.6",5
"Hungary","3.41","29","3.6",12
"Republic of Ireland","3.31","15.2","3.1",5
"France","3.27","6.8","3.4",8
"Kazakhstan","3.25","38.8","8.8",10
"Moldova","3.21","46.2","13.6",19
"Latvia","3.19","41.6","3.3",19
"Serbia","3.11","40.6","4.8",12
"Slovenia","3.09","12.5","1.7",7
"Belgium","3.07","17.6","2.9",5
"Luxembourg","3.01","10.6","1.9",5
"Croatia","3","15.2","4",8
"Ukraine","2.99","47.8","7.5",19
"Romania","2.98","21.3","6.1",19
"Norway","2.92","14.3","2.1",2
"Costa Rica","2.89","21.5","7.6",27
"Mongolia","2.86","39.3","14",45
"Malta","2.86","37.1","6.1",6
"United Kingdom","2.81","14.8","3.6",7
"Montenegro","2.76","31.8","2.3",6
