"country","cause_of_death","deaths"
"Afghanistan","cardiovascular_diseases",61995
"Afghanistan","conflict_and_terrorism",24295
"Afghanistan","neonatal_disorders",23701
"Albania","cardiovascular_diseases",12904
"Albania","neoplasms",4705
"Albania","alzheimers_disease_and_other_dementias",917
"Algeria","cardiovascular_diseases",97931
"Algeria","neoplasms",23816
"Algeria","road_injuries",11051
"American Samoa","cardiovascular_diseases",125
"American Samoa","neoplasms",68
"American Samoa","diabetes_mellitus",44
"Andorra","neoplasms",230
"Andorra","cardiovascular_diseases",169
"Andorra","chronic_respiratory_diseases",39
"Angola","cardiovascular_diseases",25724
"Angola","neonatal_disorders",18189
"Angola","hiv_aids",16802
"Antigua and Barbuda","cardiovascular_diseases",200
"Antigua and Barbuda","neoplasms",138
"Antigua and Barbuda","diabetes_mellitus",57
"Argentina","cardiovascular_diseases",101725
"Argentina","neoplasms",85209
"Argentina","lower_respiratory_infections",36264
"Armenia","cardiovascular_diseases",13507
"Armenia","neoplasms",5834
"Armenia","digestive_diseases",1720
"Australia","neoplasms",53700
"Australia","cardiovascular_diseases",51615
"Australia","alzheimers_disease_and_other_dementias",11240
"Austria","cardiovascular_diseases",32998
"Austria","neoplasms",22258
"Austria","alzheimers_disease_and_other_dementias",4802
"Azerbaijan","cardiovascular_diseases",42138
"Azerbaijan","neoplasms",11913
"Azerbaijan","digestive_diseases",3945
"Bahrain","cardiovascular_diseases",1271
"Bahrain","neoplasms",817
"Bahrain","diabetes_mellitus",708
"Bangladesh","cardiovascular_diseases",324764
"Bangladesh","neoplasms",106147
"Bangladesh","chronic_respiratory_diseases",70893
"Barbados","cardiovascular_diseases",905
"Barbados","neoplasms",825
"Barbados","diabetes_mellitus",312
"Belarus","cardiovascular_diseases",75339
"Belarus","neoplasms",19668
"Belarus","digestive_diseases",4188
"Belgium","neoplasms",33892
"Belgium","cardiovascular_diseases",33627
"Belgium","chronic_respiratory_diseases",7400
"Belize","cardiovascular_diseases",464
"Belize","neoplasms",299
"Belize","diabetes_mellitus",154
"Benin","malaria",13264
"Benin","neonatal_disorders",12609
"Benin","cardiovascular_diseases",11418
"Bermuda","cardiovascular_diseases",209
"Bermuda","neoplasms",179
"Bermuda","alzheimers_disease_and_other_dementias",32
"Bhutan","cardiovascular_diseases",1208
"Bhutan","chronic_respiratory_diseases",571
"Bhutan","neoplasms",474
"Bolivia","cardiovascular_diseases",15905
"Bolivia","neoplasms",14035
"Bolivia","lower_respiratory_infections",6570
"Bosnia and Herzegovina","cardiovascular_diseases",18828
"Bosnia and Herzegovina","neoplasms",9482
"Bosnia and Herzegovina","diabetes_mellitus",2290
"Botswana","hiv_aids",5612
"Botswana","cardiovascular_diseases",3519
"Botswana","neoplasms",2076
"Brazil","cardiovascular_diseases",397993
